LOCATION,TIME,Value,Year
GBR,1970,47.57803918,1970
GBR,1971,45.52742185,1971
GBR,1972,45.67779473,1972
GBR,1973,46.37872641,1973
GBR,1974,44.42223433,1974
GBR,1975,39.85541472,1975
GBR,1976,36.55030194,1976
GBR,1977,35.78836762,1977
GBR,1978,37.47486876,1978
GBR,1979,38.29523952,1979
GBR,1980,36.68858597,1980
GBR,1981,35.4268123,1981
GBR,1982,35.65961949,1982
GBR,1983,34.56728192,1983
GBR,1984,35.08152659,1984
GBR,1985,35.12011437,1985
GBR,1986,34.93850632,1986
GBR,1987,34.51295439,1987
GBR,1988,34.04572949,1988
GBR,1989,33.73065917,1989
GBR,1990,32.74495595,1990
GBR,1991,31.07547805,1991
GBR,1992,29.9466794,1992
GBR,1993,28.71901926,1993
GBR,1994,28.079718540000002,1994
GBR,1995,28.19283491,1995
GBR,1996,27.21841089,1996
GBR,1997,26.91907015,1997
GBR,1998,27.03529422,1998
GBR,1999,26.08972842,1999
GBR,2000,26.28031383,2000
GBR,2001,25.6396459,2001
GBR,2002,24.37909944,2002
GBR,2003,24.12446709,2003
GBR,2004,23.35874097,2004
GBR,2005,22.0639582,2005
GBR,2006,21.71808402,2006
GBR,2007,21.63478071,2007
GBR,2008,21.85786911,2008
GBR,2009,20.68629595,2009
GBR,2010,19.23143692,2010
GBR,2011,18.2460052,2011
GBR,2012,17.78388278,2012
GBR,2013,17.48201439,2013
GBR,2014,17.38274257,2014
GBR,2015,17.10155148,2015
GBR,2016,16.7965368,2016
GBR,2017,16.53410053,2017
GBR,2018,16.3104242,2018
GBR,2019,16.09980928,2019
GBR,2020,11.98380567,2020
GBR,2021,14.34929405,2021
USA,1973,38.1104034,1973
USA,1974,39.10068426,1974
USA,1975,37.63003166,1975
USA,1976,37.7559727,1976
USA,1977,38.22485207,1977
USA,1978,38.97247706,1978
USA,1979,37.64195057,1979
USA,1980,36.55215104,1980
USA,1981,35.17400058,1981
USA,1982,34.72409152,1982
USA,1983,34.28645028,1983
USA,1984,33.43217198,1984
USA,1985,32.9782197,1985
USA,1986,32.19021491,1986
USA,1987,31.02222222,1987
USA,1988,30.06917423,1988
USA,1989,29.36357908,1989
USA,1990,28.45544956,1990
USA,1991,26.57109191,1991
USA,1992,25.05773672,1992
USA,1993,23.87640449,1993
USA,1994,23.88451444,1994
USA,1995,24.57998539,1995
USA,1996,23.82394868,1996
USA,1997,23.78649162,1997
USA,1998,23.7458194,1998
USA,1999,23.46278317,1999
USA,2000,23.08892356,2000
USA,2001,23.58208955,2001
USA,2002,22.09131075,2002
USA,2003,20.57553957,2003
USA,2004,19.63534362,2004
USA,2005,18.97506925,2005
USA,2006,19.24629879,2006
USA,2007,19.84334204,2007
USA,2008,20.05012531,2008
USA,2009,19.78021978,2009
USA,2010,18.81067961,2010
USA,2011,17.78846154,2011
USA,2012,19.08665105,2012
USA,2013,17.90697674,2013
USA,2014,17.45120551,2014
USA,2015,18.88268156,2015
USA,2016,18.1420765,2016
USA,2017,18.17215728,2017
USA,2018,18.91058582,2018
USA,2019,18.47070507,2019
USA,2020,17.65249538,2020
USA,2021,16.86417502,2021
